Csv name,Generator,Algorithm,Time,Averge Memory,Max memory,Min memory,Numbers sorted,Min Val,Max Val,Issorted

A0,basicgenerator,bucketsort2,1.302484512,31.04110054,31.01171875,31.0546875,10,0,100,TRUE

A0,basicgenerator,bubblesort,1.264298201,31.05636161,31.0546875,31.0625,10,0,100,TRUE

A0,basicgenerator,selectionsort,1.255324841,31.11941964,31.11328125,31.12890625,10,0,100,TRUE

A0,basicgenerator,insertionsort,1.404910564,31.07226563,31.06640625,31.0859375,10,0,100,TRUE

A0,basicgenerator,countingsort,1.20651269,31.07756696,31.0703125,31.08984375,10,0,100,TRUE

A0,basicgenerator,mergesort,1.214420319,31.25214214,31.26953125,31.296875,10,0,100,TRUE

A0,basicgenerator,heapsort,1.176755667,31.00732422,31,31.01953125,10,0,100,TRUE

A0,basicgenerator,radixsort,1.202110529,31.08154297,31.07421875,31.09375,10,0,100,TRUE

A0,basicgenerator,quicksort,1.203659296,31.23466082,31.16796875,31.3046875,10,0,100,TRUE

A0,basicgenerator,quicksortleft,1.205269575,31.2890625,31.18359375,31.4140625,10,0,100,TRUE

A0,basicgenerator,quicksortmid,1.198615789,31.19958212,31.14453125,31.234375,10,0,100,TRUE

A0,basicgenerator,quicksortright,1.220797777,31.19552951,31.140625,31.23046875,10,0,100,TRUE

A1,basicgenerator,bucketsort2,1.366046667,31.21879596,31.18359375,31.234375,100,0,100,TRUE

A1,basicgenerator,bubblesort,1.430030107,31.06054688,31.046875,31.06640625,100,0,100,TRUE

A1,basicgenerator,selectionsort,1.207010508,31.10351563,31.08984375,31.109375,100,0,100,TRUE

A1,basicgenerator,insertionsort,1.197208166,31.13574219,31.12890625,31.1484375,100,0,100,TRUE

A1,basicgenerator,countingsort,1.215473652,31.06640625,31.05859375,31.078125,100,0,100,TRUE

A1,basicgenerator,mergesort,0.661428213,31.27734375,31.2109375,31.38671875,100,0,100,TRUE

A1,basicgenerator,heapsort,1.187078714,31.04199219,31.02734375,31.05078125,100,0,100,TRUE

A1,basicgenerator,radixsort,1.20410943,31.02773438,31.015625,31.03515625,100,0,100,TRUE

A1,basicgenerator,quicksort,0.97105813,31.30390625,31.23828125,31.48828125,100,0,100,TRUE

A1,basicgenerator,quicksortleft,0.987384319,32.409375,32.23046875,33.5703125,100,0,100,TRUE

A1,basicgenerator,quicksortmid,0.973091125,31.21953125,31.1953125,31.296875,100,0,100,TRUE

A1,basicgenerator,quicksortright,1.283684492,31.3588399,31.23046875,31.4140625,100,0,100,TRUE

A2,basicgenerator,bucketsort2,1.307197809,31.09269292,31.06640625,31.1015625,1000,0,1000,TRUE

A2,basicgenerator,bubblesort,0.68896699,31.1203125,31.11328125,31.1328125,1000,0,1000,TRUE

A2,basicgenerator,selectionsort,1.00207305,31.0765625,31.0703125,31.0859375,1000,0,1000,TRUE

A2,basicgenerator,insertionsort,1.249192238,31.37469952,31.36328125,31.3828125,1000,0,1000,TRUE

A2,basicgenerator,countingsort,1.19796586,31.08398438,31.07421875,31.08984375,1000,0,1000,TRUE

A2,basicgenerator,mergesort,0.589385271,31.23125,31.33203125,31.52734375,1000,0,1000,TRUE

A2,basicgenerator,heapsort,1.221727848,31.19333187,31.16796875,31.1953125,1000,0,1000,TRUE

A2,basicgenerator,radixsort,1.221061707,31.33828125,31.3203125,31.33984375,1000,0,1000,TRUE

A2,basicgenerator,quicksort,0.988730431,31.73177083,31.51171875,31.875,1000,0,1000,TRUE

A2,basicgenerator,quicksortleft,1.053561211,43.56640625,36.6953125,59.140625,1000,0,1000,TRUE

A2,basicgenerator,quicksortmid,0.971001387,31.72879464,31.56640625,31.80859375,1000,0,1000,TRUE

A2,basicgenerator,quicksortright,0.970075846,31.54799107,31.40234375,31.625,1000,0,1000,TRUE

A3,basicgenerator,bucketsort2,0.595906973,32.23046875,32.26953125,32.296875,10000,0,10000,TRUE

A3,basicgenerator,bubblesort,5.242004395,31.95287566,31.953125,31.95703125,10000,0,10000,TRUE

A3,basicgenerator,selectionsort,3.566364765,32.24780273,32.25,32.25390625,10000,0,10000,TRUE

A3,basicgenerator,insertionsort,4.544991016,32.09279726,32.09375,32.09765625,10000,0,10000,TRUE

A3,basicgenerator,countingsort,1.221465349,32.05013587,32.03515625,32.05078125,10000,0,10000,TRUE

A3,basicgenerator,mergesort,3.181207418,32.58647629,32.3515625,32.6796875,10000,0,10000,TRUE

